symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-26 12:00:00+03:30,2025-01-26,10980.0,10765.0,1.9972131908964237
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-27 12:00:00+03:30,2025-01-27,10988.0,10803.0,1.7124872720540592
آتش,صندوق س.کالای کهکشان فیروزه,2025-01-29 12:00:00+03:30,2025-01-29,10873.0,10693.0,1.683344243897877
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-01 12:00:00+03:30,2025-02-01,11172.0,10951.0,2.0180805405899003
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-02 12:00:00+03:30,2025-02-02,11280.0,10984.0,2.69482884195193
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-03 12:00:00+03:30,2025-02-03,11154.0,11007.0,1.3355137639683836
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-04 12:00:00+03:30,2025-02-04,11297.0,11111.0,1.6740167401674018
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-05 12:00:00+03:30,2025-02-05,11787.0,11475.0,2.718954248366013
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-09 12:00:00+03:30,2025-02-09,12894.0,12198.0,5.705853418593212
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-11 12:00:00+03:30,2025-02-11,12437.0,12368.0,0.5578913324708926
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-15 12:00:00+03:30,2025-02-15,12993.0,12706.0,2.2587753817094285
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-16 12:00:00+03:30,2025-02-16,12859.0,12639.0,1.7406440382941688
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-17 12:00:00+03:30,2025-02-17,12766.0,12633.0,1.0527982268661442
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-18 12:00:00+03:30,2025-02-18,13035.0,12893.0,1.1013728379740944
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-19 12:00:00+03:30,2025-02-19,13492.0,13299.0,1.4512369351079029
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-22 12:00:00+03:30,2025-02-22,13900.0,13548.0,2.59816947150871
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-23 12:00:00+03:30,2025-02-23,13452.0,13214.0,1.8011200242167398
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-24 12:00:00+03:30,2025-02-24,13480.0,13221.0,1.9590046138718704
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-25 12:00:00+03:30,2025-02-25,13109.0,12958.0,1.165303287544374
آتش,صندوق س.کالای کهکشان فیروزه,2025-02-26 12:00:00+03:30,2025-02-26,13365.0,13221.0,1.0891763104152483
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-01 12:00:00+03:30,2025-03-01,12780.0,12634.0,1.155611841063796
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-02 12:00:00+03:30,2025-03-02,12639.0,12515.0,0.9908110267678784
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-03 12:00:00+03:30,2025-03-03,12458.0,12489.0,-0.2482184322203539
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-04 12:00:00+03:30,2025-03-04,12617.0,12549.0,0.5418758466810104
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-05 12:00:00+03:30,2025-03-05,12430.0,12379.0,0.4119880442685192
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-08 12:00:00+03:30,2025-03-08,12932.0,12714.0,1.7146452729274817
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-09 12:00:00+03:30,2025-03-09,13200.0,12940.0,2.009273570324575
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-10 12:00:00+03:30,2025-03-10,13194.0,13160.0,0.2583586626139817
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-11 12:00:00+03:30,2025-03-11,12990.0,12914.0,0.5885085953229053
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-12 12:00:00+03:30,2025-03-12,13018.0,12956.0,0.4785427601111454
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-15 12:00:00+03:30,2025-03-15,13041.0,13020.0,0.1612903225806451
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-16 12:00:00+03:30,2025-03-16,13499.0,13361.0,1.0328568220941543
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-17 12:00:00+03:30,2025-03-17,14154.0,14075.0,0.5612788632326821
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-18 12:00:00+03:30,2025-03-18,14965.0,14772.0,1.306525859734633
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-25 12:00:00+03:30,2025-03-25,15297.0,15346.0,-0.3193014466310439
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-26 12:00:00+03:30,2025-03-26,15890.0,15720.0,1.0814249363867685
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-29 12:00:00+03:30,2025-03-29,16682.0,16501.0,1.0969032179867886
آتش,صندوق س.کالای کهکشان فیروزه,2025-03-30 12:00:00+03:30,2025-03-30,16300.0,16224.0,0.4684418145956607
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-05 12:00:00+03:30,2025-04-05,15390.0,15396.0,-0.0389711613406079
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-06 12:00:00+03:30,2025-04-06,15600.0,15470.0,0.8403361344537815
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-07 12:00:00+03:30,2025-04-07,15607.0,15700.0,-0.5923566878980892
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-08 12:00:00+03:30,2025-04-08,14169.0,14963.0,-5.306422508855176
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-09 12:00:00+03:30,2025-04-09,14280.0,14372.0,-0.64013359309769
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-12 12:00:00+03:30,2025-04-12,13400.0,13887.0,-3.506876935263196
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-13 12:00:00+03:30,2025-04-13,12421.0,13339.0,-6.882075118074818
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-14 12:00:00+03:30,2025-04-14,12675.0,12668.0,0.0552573413324913
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-15 12:00:00+03:30,2025-04-15,12751.0,12774.0,-0.1800532331297949
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-16 12:00:00+03:30,2025-04-16,12880.0,12860.0,0.1555209953343701
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-19 12:00:00+03:30,2025-04-19,11949.0,12228.0,-2.281648675171737
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-20 12:00:00+03:30,2025-04-20,11413.0,11842.0,-3.622698868434386
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-21 12:00:00+03:30,2025-04-21,12152.0,12303.0,-1.227342924489962
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-22 12:00:00+03:30,2025-04-22,11494.0,11776.0,-2.3947010869565215
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-23 12:00:00+03:30,2025-04-23,11600.0,11936.0,-2.815013404825738
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-26 12:00:00+03:30,2025-04-26,11620.0,11993.0,-3.110147586091887
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-27 12:00:00+03:30,2025-04-27,11905.0,12310.0,-3.290008123476848
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-28 12:00:00+03:30,2025-04-28,11734.0,11921.0,-1.5686603472863017
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-29 12:00:00+03:30,2025-04-29,11740.0,11900.0,-1.3445378151260503
آتش,صندوق س.کالای کهکشان فیروزه,2025-04-30 12:00:00+03:30,2025-04-30,11780.0,11879.0,-0.8334034851418469
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-03 12:00:00+03:30,2025-05-03,12469.0,12410.0,0.475423045930701
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-04 12:00:00+03:30,2025-05-04,12550.0,12656.0,-0.8375474083438685
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-05 12:00:00+03:30,2025-05-05,12310.0,12310.0,0.0
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-06 12:00:00+03:30,2025-05-06,12229.0,12306.0,-0.6257110352673493
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-07 12:00:00+03:30,2025-05-07,12319.0,12250.0,0.563265306122449
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-10 12:00:00+03:30,2025-05-10,12402.0,12388.0,0.1130125928317726
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-11 12:00:00+03:30,2025-05-11,12150.0,12224.0,-0.6053664921465969
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-12 12:00:00+03:30,2025-05-12,12200.0,12155.0,0.3702180172768408
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-13 12:00:00+03:30,2025-05-13,12210.0,12094.0,0.9591532991566064
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-14 12:00:00+03:30,2025-05-14,12075.0,12123.0,-0.3959415986142044
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-17 12:00:00+03:30,2025-05-17,11727.0,11734.0,-0.0596557013806033
